Author,Status,Title,Created On,URL
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-11-10,https://github.com/ParmEd/ParmEd/pull/1328
fazledyn-or,merged,ENH: Replace saving mayavi figure to a temporary file with mlab.screenshot(),2023-11-10,https://github.com/nipy/nipy/pull/552
fazledyn-or,merged,Fixed Improper Method Call: `__eq__` and `__ne__`,2023-11-09,https://github.com/FEniCS/ffcx/pull/636
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-11-08,https://github.com/OCA/reporting-engine/pull/809
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-11-08,https://github.com/autotest/tp-qemu/pull/3869
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-11-08,https://github.com/ceph/teuthology/pull/1898
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-11-08,https://github.com/datalad/datalad/pull/7534
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp` ,2023-11-08,https://github.com/dimagi/commcare-hq/pull/33725
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-11-08,https://github.com/cloudify-cosmo/cloudify-manager/pull/4338
fazledyn-or,merged,Fixed Improper Method Call: Replaced `mktemp`,2023-11-08,https://github.com/spcl/dace/pull/1428
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-11-07,https://github.com/dimagi/commcare-cloud/pull/6163
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-11-07,https://github.com/autotest/autotest/pull/1082
fazledyn-or,open,Fixed Improper Method Call: `mkstemp`,2023-11-07,https://github.com/autotest/autotest/pull/1081
fazledyn-or,merged,Added FTP Secure as an option,2023-11-01,https://github.com/geopython/pycsw/pull/918
fazledyn-or,merged,Added SMTP_SSL option with authentication,2023-11-01,https://github.com/geopython/pycsw/pull/917
fazledyn-or,open,Fixed inappropriate logic,2023-10-27,https://github.com/F5Networks/f5-ansible/pull/2377
fazledyn-or,merged,Fixed inappropriate logical expression,2023-10-27,https://github.com/mailpile/Mailpile/pull/2321
fazledyn-or,merged,Fixed inappropriate logical expression,2023-10-27,https://github.com/candlepin/subscription-manager/pull/3348
fazledyn-or,merged,Replaced `mktemp` with `mkstemp`,2023-10-27,https://github.com/invesalius/invesalius3/pull/679
fazledyn-or,open,Fix: Improper Method Call (Replace mktemp with mkstemp),2023-10-23,https://github.com/mkorpela/pabot/pull/557
fazledyn-or,merged,Introduce a safer SMTP alternative: SMTP_SSL (Weak Cryptography Issue),2023-10-23,https://github.com/nasa-gibs/onearth/pull/177
fazledyn-or,open,Fix Sensitive Data Exposure: Set `umask` to default value after use,2023-10-19,https://github.com/cherrypy/cherrypy/pull/2003
fazledyn-or,open,Replaced `mktemp` with a safer API `mkstemp`,2023-10-17,https://github.com/asciidoc-py/asciidoc-py/pull/270
fazledyn-or,open,Introduce a safer SMTP alternative: SMTP_SSL (Weak Cryptography Issue),2023-10-16,https://github.com/trigger/trigger/pull/336
fazledyn-or,merged,Replaced `NotImplementedError` with `NotImplemented`,2023-10-13,https://github.com/SciTools/iris/pull/5544
fazledyn-or,open,Fixed Improper Method Call: Replaced `mktemp`,2023-10-13,https://github.com/trigger/trigger/pull/335
fazledyn-or,merged,SSL/TLS support and authentication for SMTP,2023-10-12,https://github.com/google/timesketch/pull/2940
fazledyn-or,merged,Fixed an improper method call,2023-10-12,https://github.com/Azure/azure-linux-extensions/pull/1816
fazledyn-or,merged,FIX: Updated logical expression to remove short circuit,2023-10-09,https://github.com/ReactionMechanismGenerator/RMG-Py/pull/2555
fazledyn-or,merged,FIX: Updated expression to fix logical short circuit,2023-10-09,https://github.com/custom-components/ble_monitor/pull/1250
fazledyn-or,merged,Fixed Sensitive Data Exposure (File permission in attachments),2023-10-06,https://github.com/django-helpdesk/django-helpdesk/pull/1120
fazledyn-or,merged,Feature: Added support for FTP_TLS (Weak Cryptography Issue),2023-10-06,https://github.com/jschneier/django-storages/pull/1320
fazledyn-or,merged,Fixed implementation of a special method,2023-10-03,https://github.com/PaddlePaddle/PaddleSpeech/pull/3538
fazledyn-or,merged,Fixed Improper Method Call: Replaced `NotImplementedError` with `NotImplemented`,2023-10-03,https://github.com/cupy/cupy/pull/7900
fazledyn-or,merged,FIX: Replaced mktemp usage for PY2 with Python 3 ones.,2023-10-03,https://github.com/celery/billiard/pull/394
fazledyn-or,open,Remove undefined names,2023-09-29,https://github.com/blaze/blaze/pull/1697
fazledyn-or,open,Removed csrf_exempt from views.py,2023-09-29,https://github.com/opps/opps/pull/516
fazledyn-or,merged,Fixed Inappropriate Logic and Security Misconfiguration,2023-09-08,https://github.com/sympy/sympy/pull/25650
fazledyn-or,merged,Fix an inappropriate test expression to remove a logical short circuit,2023-09-07,https://github.com/sympy/sympy/pull/25645
fazledyn-or,merged,Fixed improper method call in `datastructures.py`,2023-08-22,https://github.com/ethereum/web3.py/pull/3080
fazledyn-or,open,Added CSRF protection,2023-08-22,https://github.com/uber/clay/pull/49
